kw,name,n,avg_len,avg_dis,z,p
KW-0008,Acetylcholine receptor inhibiting toxin,12,70.75,0.25,0.8017666916976973,0.877
KW-0009,Actin-binding,837,974.9187574671446,0.7682198327359617,2.938129466707895,0.999
KW-0010,Activator,2574,600.510101010101,0.8787878787878788,28.20870068029351,1.0
KW-0012,Acyltransferase,867,531.5836216839677,0.42214532871972316,-13.269520475714735,0.0
KW-0022,Alpha-amylase inhibitor,3,166.33333333333334,0.0,-1.2069433975322794,0.30300000000000005
KW-0030,Aminoacyl-tRNA synthetase,243,673.7119341563786,0.6748971193415638,-3.257023300418097,0.0020000000000000018
KW-0031,Aminopeptidase,130,668.723076923077,0.36923076923076925,-10.515622956805947,0.0
KW-0032,Aminotransferase,202,451.0495049504951,0.2376237623762376,-12.127487364292271,0.0
KW-0044,Antibiotic,270,152.33333333333334,0.3888888888888889,4.722224433895562,1.0
KW-0047,Antifreeze protein,2,82.0,1.0,3.3645325826225196,1.0
KW-0049,Antioxidant,111,203.3963963963964,0.34234234234234234,-0.6147279826086944,0.30100000000000005
KW-0062,Aspartic protease inhibitor,2,96.0,1.0,2.83496611933547,1.0
KW-0063,Aspartyl esterase,28,530.4285714285714,0.5357142857142857,-1.8465316655436006,0.05800000000000005
KW-0064,Aspartyl protease,120,942.3,0.6416666666666667,-3.6084224254521473,0.0010000000000000009
KW-0078,Bacteriocin,23,112.52173913043478,0.2608695652173913,0.7163819666283205,0.844
KW-0081,Bacteriolytic enzyme,35,434.65714285714284,0.3142857142857143,-2.3156776744491654,0.007000000000000006
KW-0086,Bence-Jones protein,2,107.0,0.5,0.9955549174493431,0.958
KW-0095,Blood group antigen,29,534.8275862068965,0.4827586206896552,-1.3859017455479092,0.11299999999999999
KW-0107,Calcium channel,193,1397.7668393782383,0.927461139896373,4.631081304760626,1.0
KW-0108,Calcium channel impairing toxin,8,86.875,0.25,0.5710471345938675,0.854
KW-0112,Calmodulin-binding,520,1229.0,0.9019230769230769,6.402689976702217,1.0
KW-0117,Actin capping,66,922.030303030303,0.6666666666666666,-0.680501675013182,0.29000000000000004
KW-0121,Carboxypeptidase,116,631.1551724137931,0.3706896551724138,-9.34324623249733,0.0
KW-0123,Cardiotoxin,2,133.5,0.5,0.789335254883239,0.948
KW-0143,Chaperone,937,430.4322305229456,0.7118463180362861,10.606292055621497,1.0
KW-0156,Chromatin regulator,1038,847.0578034682081,0.8959537572254336,12.23009342525479,1.0
KW-0195,Cyclin,133,422.70676691729324,0.8721804511278195,6.539024445397104,1.0
KW-0202,Cytokine,433,236.445727482679,0.4341801385681293,1.7340600912583466,0.961
KW-0210,Decarboxylase,195,488.2102564102564,0.24615384615384617,-12.181010907729666,0.0
KW-0211,Defensin,53,81.09433962264151,0.3018867924528302,2.76162016748583,0.993
KW-0217,Developmental protein,3897,655.2086220169361,0.859379009494483,29.73186517396933,1.0
KW-0223,Dioxygenase,366,622.3224043715848,0.48360655737704916,-8.727967823856142,0.0
KW-0224,Dipeptidase,22,522.2727272727273,0.22727272727272727,-4.318324616279323,0.0
KW-0230,DNA invertase,1,184.0,0.0,-0.7113537069458077,0.6639999999999999
KW-0236,DNA replication inhibitor,16,531.125,0.75,1.5586057100705821,0.975
KW-0238,DNA-binding,6518,546.5319116293341,0.8711261123043879,45.48620251750859,1.0
KW-0239,DNA-directed DNA polymerase,172,1144.4767441860465,0.8197674418604651,-0.8943753279830571,0.22599999999999998
KW-0251,Elongation factor,106,467.6792452830189,0.4811320754716981,-3.1751029740195253,0.0030000000000000027
KW-0255,Endonuclease,443,728.1354401805869,0.5959367945823928,-2.865815548887981,0.0050000000000000044
KW-0257,Endorphin,12,246.5,1.0,3.885086094113169,1.0
KW-0260,Enterotoxin,5,187.6,0.2,-0.6933150906194859,0.43600000000000005
KW-0267,Excision nuclease,13,727.0,0.7692307692307693,-0.21620335395042606,0.542
KW-0269,Exonuclease,239,725.9874476987447,0.7531380753138075,1.2667966258122272,0.917
KW-0273,Eye lens protein,52,256.0192307692308,0.34615384615384615,-1.2979355316648276,0.125
KW-0295,Fungicide,81,129.59259259259258,0.3950617283950617,3.8545903917473514,1.0
KW-0297,G-protein coupled receptor,1385,465.6194945848375,0.39061371841155235,-17.618931699677066,0.0
KW-0302,Gap protein,2,630.0,1.0,0.7709682876335723,1.0
KW-0326,Glycosidase,697,570.5035868005739,0.3672883787661406,-19.296183812860047,0.0
KW-0328,Glycosyltransferase,1134,551.2566137566138,0.3985890652557319,-19.834186033461393,0.0
KW-0339,Growth factor,398,299.63065326633165,0.7035175879396985,10.024823270521138,1.0
KW-0340,Growth factor binding,50,593.98,1.0,6.487420513198283,1.0
KW-0343,GTPase activation,424,867.3490566037735,0.875,5.4668856255063725,1.0
KW-0344,Guanine-nucleotide releasing factor,319,1144.3918495297805,0.9592476489028213,5.622107073189979,1.0
KW-0347,Helicase,739,1086.0527740189445,0.8673883626522327,1.557035340773118,0.949
KW-0348,Hemagglutinin,23,281.2173913043478,0.13043478260869565,-3.216237352156608,0.0
KW-0358,Heparin-binding,221,650.9683257918552,0.7330316742081447,4.07695068845456,1.0
KW-0372,Hormone,338,221.13313609467457,0.5857988165680473,10.967887183236133,1.0
KW-0378,Hydrolase,7564,614.8131940772079,0.514013749338974,-32.763638119509714,0.0
KW-0382,Hypotensive agent,9,197.55555555555554,0.7777777777777778,2.6587486737086206,0.999
KW-0388,IgA-binding protein,2,210.0,0.0,-1.0957681979637095,0.39
KW-0389,IgE-binding protein,13,236.46153846153845,0.5384615384615384,0.9408997591464652,0.898
KW-0390,IgG-binding protein,14,325.85714285714283,0.6428571428571429,0.825193912369457,0.863
KW-0396,Initiation factor,248,489.758064516129,0.6491935483870968,1.3067112445377567,0.921
KW-0401,Integrin,71,1038.2535211267605,0.704225352112676,-5.42559020858344,0.0
KW-0407,Ion channel,1027,861.8841285296982,0.7555988315481986,1.0155892111424332,0.862
KW-0413,Isomerase,931,422.7175080558539,0.3533834586466165,-14.64646531845787,0.0
KW-0418,Kinase,3072,730.2037760416666,0.7080078125,-2.5096944313071785,0.008000000000000007
KW-0425,Lantibiotic,9,64.55555555555556,0.3333333333333333,1.6847407534037122,0.969
KW-0428,Leader peptide,1,44.0,0.0,-0.4250147577130797,0.847
KW-0436,Ligase,995,693.3005025125628,0.4552763819095477,-19.964268782750192,0.0
KW-0456,Lyase,1431,481.3717679944095,0.30118798043326345,-25.71452685251428,0.0
KW-0481,Metalloenzyme inhibitor,34,303.20588235294116,0.5882352941176471,1.3821130054669142,0.9299999999999999
KW-0482,Metalloprotease,507,688.2544378698225,0.5641025641025641,-10.588083037194442,0.0
