,index,status,kw,go,score,n_kwgo,n_kw,n_go,R,kw_name,go_name,kw_def,go_def
0,193,,KW-1061,GO:0004630,0.96,142,148,142,1,Dermonecrotic toxin,phospholipase D activity, Protein involved in the necrosis of the skin,Catalysis of the reaction: a phosphatidylcholine + H2O = choline + a phosphatidate.
1,194,,KW-1061,GO:0070290,0.37,55,148,56,2,Dermonecrotic toxin,N-acylphosphatidylethanolamine-specific phospholipase D activity, Protein involved in the necrosis of the skin,Catalysis of the release of N-acylethanolamine from N-acyl-phosphatidylethanolamine (NAPE) to generate N-acylethanolamine (NAE).
2,195,,KW-1061,GO:0046872,0.03,139,148,5010,3,Dermonecrotic toxin,metal ion binding, Protein involved in the necrosis of the skin,Interacting selectively and non-covalently with any metal ion.
3,196,,KW-1061,GO:0008081,0.01,1,148,4,4,Dermonecrotic toxin,phosphoric diester hydrolase activity, Protein involved in the necrosis of the skin,Catalysis of the hydrolysis of a phosphodiester to give a phosphomonoester and a free hydroxyl group.
4,197,,KW-1061,GO:0004620,0.01,2,148,2,5,Dermonecrotic toxin,phospholipase activity, Protein involved in the necrosis of the skin,Catalysis of the hydrolysis of a glycerophospholipid.
5,5,,KW-0689,GO:0003735,0.91,46343,49054,48096,1,Ribosomal protein,structural constituent of ribosome," Protein of the ribosome, large ribonucleoprotein particles where the translation of messenger RNA (mRNA) into protein occurs. They are both free in the cytoplasm and attached to membranes of eukaryotic and prokaryotic cells. Ribosomes are also present in all plastids and mitochondria, where they translate organelle-encoded mRNA",The action of a molecule that contributes to the structural integrity of the ribosome.
6,6,,KW-0689,GO:0019843,0.2,12788,49054,28317,2,Ribosomal protein,rRNA binding," Protein of the ribosome, large ribonucleoprotein particles where the translation of messenger RNA (mRNA) into protein occurs. They are both free in the cytoplasm and attached to membranes of eukaryotic and prokaryotic cells. Ribosomes are also present in all plastids and mitochondria, where they translate organelle-encoded mRNA",Interacting selectively and non-covalently with ribosomal RNA.
7,7,,KW-0689,GO:0000049,0.09,4426,49054,4870,3,Ribosomal protein,tRNA binding," Protein of the ribosome, large ribonucleoprotein particles where the translation of messenger RNA (mRNA) into protein occurs. They are both free in the cytoplasm and attached to membranes of eukaryotic and prokaryotic cells. Ribosomes are also present in all plastids and mitochondria, where they translate organelle-encoded mRNA",Interacting selectively and non-covalently with transfer RNA.
8,8,,KW-0689,GO:0003723,0.03,1402,49054,4428,4,Ribosomal protein,RNA binding," Protein of the ribosome, large ribonucleoprotein particles where the translation of messenger RNA (mRNA) into protein occurs. They are both free in the cytoplasm and attached to membranes of eukaryotic and prokaryotic cells. Ribosomes are also present in all plastids and mitochondria, where they translate organelle-encoded mRNA",Interacting selectively and non-covalently with an RNA molecule or a portion thereof.
9,9,,KW-0689,GO:0046872,0.02,812,49054,5010,5,Ribosomal protein,metal ion binding," Protein of the ribosome, large ribonucleoprotein particles where the translation of messenger RNA (mRNA) into protein occurs. They are both free in the cytoplasm and attached to membranes of eukaryotic and prokaryotic cells. Ribosomes are also present in all plastids and mitochondria, where they translate organelle-encoded mRNA",Interacting selectively and non-covalently with any metal ion.
10,168,,KW-1216,GO:0004630,0.81,135,160,142,1,Complement system impairing toxin,phospholipase D activity," Toxin which interferes with the complement system. These toxins act by activating, inhibiting, or mimicking proteins of this system. They are mostly found in snake and spider venoms",Catalysis of the reaction: a phosphatidylcholine + H2O = choline + a phosphatidate.
11,169,,KW-1216,GO:0070290,0.3,50,160,56,2,Complement system impairing toxin,N-acylphosphatidylethanolamine-specific phospholipase D activity," Toxin which interferes with the complement system. These toxins act by activating, inhibiting, or mimicking proteins of this system. They are mostly found in snake and spider venoms",Catalysis of the release of N-acylethanolamine from N-acyl-phosphatidylethanolamine (NAPE) to generate N-acylethanolamine (NAE).
12,170,,KW-1216,GO:0046872,0.03,146,160,5010,3,Complement system impairing toxin,metal ion binding," Toxin which interferes with the complement system. These toxins act by activating, inhibiting, or mimicking proteins of this system. They are mostly found in snake and spider venoms",Interacting selectively and non-covalently with any metal ion.
13,171,,KW-1216,GO:0004866,0.02,4,160,10,4,Complement system impairing toxin,endopeptidase inhibitor activity," Toxin which interferes with the complement system. These toxins act by activating, inhibiting, or mimicking proteins of this system. They are mostly found in snake and spider venoms","Stops, prevents or reduces the activity of an endopeptidase, any enzyme that hydrolyzes nonterminal peptide bonds in polypeptides."
14,172,,KW-1216,GO:0090729,0.02,64,160,4145,5,Complement system impairing toxin,toxin activity," Toxin which interferes with the complement system. These toxins act by activating, inhibiting, or mimicking proteins of this system. They are mostly found in snake and spider venoms","Interacting selectively with one or more biological molecules in another organism (the ""target"" organism), initiating pathogenesis (leading to an abnormal, generally detrimental state) in the target organism. The activity should refer to an evolved function of the active gene product, i.e. one that was selected for. Examples include the activity of botulinum toxin, and snake venom."
15,94,,KW-0348,GO:0046789,0.75,298,397,299,1,Hemagglutinin,host cell surface receptor binding," Protein which causes agglutination of erythrocytes or other cell types: In viruses, a protein which is responsible for attaching the virus to cell receptors and for initiating infection",Interacting selectively and non-covalently with a receptor on the host cell surface.
16,95,,KW-0348,GO:0052795,0.08,31,397,31,2,Hemagglutinin,exo-alpha-(2->6)-sialidase activity," Protein which causes agglutination of erythrocytes or other cell types: In viruses, a protein which is responsible for attaching the virus to cell receptors and for initiating infection",Catalysis of the hydrolysis of alpha-(2->6)-glycosidic linkages of terminal sialic residues in substrates.
