:ID,:LABEL,id,name,category,def
KW-0001,Keyword,KW-0001,2Fe-2S,Ligand,Protein which contains at least one 2Fe-2S iron-sulfur cluster: 2 ironatoms complexed to 2 inorganic sulfides and 4 sulfur atoms ofcysteines from the protein
KW-0002,Keyword,KW-0002,3D-structure,Technical term,"Protein, or part of a protein, whose three-dimensional structure hasbeen resolved experimentally (for example by X-ray crystallography orNMR spectroscopy) and whose coordinates are available in the PDBdatabase. Can also be used for theoretical models"
KW-0003,Keyword,KW-0003,3Fe-4S,Ligand,"Protein which contains at least one 3Fe-4S iron-sulfur cluster: 3 ironatoms complexed to 4 inorganic sulfides and 3 sulfur atoms ofcysteines from the protein. In a number of iron-sulfur proteins, the4Fe-4S cluster can be reversibly converted by oxidation and loss ofone iron ion to a 3Fe-4S cluster"
KW-0004,Keyword,KW-0004,4Fe-4S,Ligand,"Protein which contains at least one 4Fe-4S iron-sulfur cluster: 4 ironatoms complexed to 4 inorganic sulfides and 4 sulfur atoms ofcysteines from the protein. In a number of iron-sulfur proteins, the4Fe-4S cluster can be reversibly converted by oxidation and loss ofone iron ion to a 3Fe-4S cluster"
KW-0937,Keyword,KW-0937,Abscisic acid biosynthesis,Biological process,"Protein involved in the synthesis of abscisic acid (ABA) (5-(1-hydroxy-2,6,6,trimethyl-4-oxocyclohex-2-en-1-y1)-3-methylpenta-2,4-dienoic acid). ABA is a plant hormone which play a role in manyaspects of plant growth, development and cellular signaling (e.g. seeddormancy, seed maturation, vegetative growth and responses to variousenvironmental stimuli such as stomatal closure during drought). Thisphytohormone can be synthesized from farnesyl diphosphate (direct C15pathway) or from 9-cis-violaxanthine (indirect C40 pathway)"
KW-0938,Keyword,KW-0938,Abscisic acid signaling pathway,Biological process,"Protein involved in the abscisic acid (ABA) (5-(1-hydroxy-2,6,6,trimethyl-4-oxocyclohex-2-en-1-y1)-3-methylpenta-2,4-dienoicacid) signaling pathway (e.g. transport and signal transduction) thatregulates many aspects of plant growth, development and cellularsignaling (e.g. seed dormancy, seed maturation, vegetative growth andresponses to various environmental stimuli such as stomatal closureduring drought). This phytohormone can be synthesized from farnesyldiphosphate (direct C15 pathway) or from 9-cis-violaxanthine (indirectC40 pathway)"
KW-0005,Keyword,KW-0005,Acetoin biosynthesis,Biological process,Protein involved in the synthesis of acetoin (3-hydroxy-2-butanone)Acetoin is a component of the butanediol cycle (butanediolfermentation) in microorganisms
KW-0006,Keyword,KW-0006,Acetoin catabolism,Biological process,Protein involved in the degradation of acetoin (3-hydroxy-2-butanone)Acetoin is a component of the butanediol cycle (butanediolfermentation) in microorganisms
KW-0007,Keyword,KW-0007,Acetylation,PTM,Protein which is posttranslationally modified by the attachment of atleast one acetyl group; generally at the N-terminus
KW-0008,Keyword,KW-0008,Acetylcholine receptor inhibiting toxin,Molecular function,"Toxin which interferes with the function of the nicotinicacetylcholine receptor (nAChR). The nAChR is a postsynaptic membraneprotein that undergoes an extensive conformational change upon bindingto acetylcholine, leading to opening of an ion-conducting channelacross the plasma membrane. These toxins are mostly found in snake andcone snail venoms"
KW-0117,Keyword,KW-0117,Actin capping,Molecular function,Protein that binds to the free end of the actin filament and therebyblocks further addition of subunits
KW-0009,Keyword,KW-0009,Actin-binding,Molecular function,"Protein which binds to actin, and thereby can modulate the propertiesand/or functions of the actin filament"
KW-1178,Keyword,KW-1178,Actin-dependent inwards viral transport,Biological process,Viral protein that allows the active transport of viral material alongactin filaments toward the intracellular replication sites duringvirus entry. This transport probably involves motor proteins likemyosins or polymerization/depolymerization reactions as a drivingforce. Viruses such as poliovirus may utilize this type ofintracellular transport
