:START_ID,:END_ID,:TYPE
KW-0001,GO:0051537,map_to
KW-0001,KW-0411,hi
KW-0001,KW-0411,hi
KW-0001,KW-0479,hi
KW-0003,GO:0051538,map_to
KW-0003,KW-0411,hi
KW-0003,KW-0411,hi
KW-0003,KW-0479,hi
KW-0004,GO:0051539,map_to
KW-0004,KW-0411,hi
KW-0004,KW-0411,hi
KW-0004,KW-0479,hi
KW-0937,GO:0009688,map_to
KW-0938,GO:0009738,map_to
KW-0005,GO:0045151,map_to
KW-0006,GO:0045150,map_to
KW-0008,GO:0030550,map_to
KW-0008,KW-0629,hi
KW-0117,GO:0051693,map_to
KW-0009,GO:0003779,map_to
KW-1178,GO:0039680,map_to
KW-1178,KW-1176,hi
KW-1072,GO:0039520,map_to
KW-1072,KW-0945,hi
KW-1073,GO:0039651,map_to
KW-1073,KW-1119,hi
KW-1074,GO:0039652,map_to
KW-1074,KW-0945,hi
KW-0011,GO:0006953,map_to
KW-0012,GO:0016746,map_to
KW-0012,KW-0808,hi
KW-1064,GO:0002250,map_to
KW-1064,KW-0391,hi
KW-0016,GO:0042121,map_to
KW-0017,GO:0009820,map_to
KW-0019,GO:0015716,map_to
KW-0021,GO:0003824,map_to
KW-0021,GO:0008152,map_to
KW-0022,GO:0015066,map_to
KW-0028,GO:0008652,map_to
KW-0029,GO:0006865,map_to
KW-0029,KW-0813,hi
KW-0030,GO:0004812,map_to
KW-0030,KW-0436,hi
KW-0031,GO:0004177,map_to
KW-0031,KW-0645,hi
KW-0032,GO:0008483,map_to
KW-0032,KW-0808,hi
KW-0924,GO:0015696,map_to
KW-0924,KW-0813,hi
KW-0878,GO:0006952,map_to
KW-0035,GO:0009501,map_to
KW-0035,KW-0934,hi
KW-0036,KW-0523,hi
KW-0037,GO:0001525,map_to
KW-0039,GO:0015301,map_to
KW-0039,KW-0406,hi
KW-0042,GO:0030076,map_to
KW-0044,GO:0042742,map_to
KW-0044,KW-0929,hi
KW-0045,GO:0017000,map_to
KW-0046,GO:0046677,map_to
KW-0049,GO:0016209,map_to
KW-0050,GO:0015297,map_to
KW-0050,KW-0813,hi
KW-0051,GO:0051607,map_to
KW-0930,GO:0050688,map_to
KW-0933,GO:0020011,map_to
KW-0933,KW-0934,hi
KW-0052,GO:0048046,map_to
KW-0053,GO:0006915,map_to
KW-0054,GO:0019568,map_to
KW-0054,KW-0119,hi
KW-0974,GO:0097589,map_to
KW-0055,GO:0006526,map_to
KW-0055,KW-0028,hi
KW-0056,GO:0006525,map_to
KW-0057,GO:0009073,map_to
KW-0057,KW-0028,hi
KW-0058,GO:0019439,map_to
