id,name,n,avg_len,dis,z,p
981,"RNA polymerase II transcription factor activity, sequence-specific DNA binding",2133,533.0018752930146,0.9746835443037974,34.69338010285087,1.0
1012,RNA polymerase II regulatory region DNA binding,1789,544.7210732252655,0.9726103968697597,31.440714855047197,1.0
977,RNA polymerase II regulatory region sequence-specific DNA binding,1772,544.4977426636569,0.9734762979683973,31.371249255244773,1.0
976,transcription regulatory region sequence-specific DNA binding,2127,548.9487541137753,0.9327691584391161,31.139532566486626,1.0
1228,"transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding",1126,519.0150976909414,0.9849023090586145,27.01019135092992,1.0
982,"transcription factor activity, RNA polymerase II proximal promoter sequence-specific DNA binding",1154,545.3093587521664,0.9852686308492201,26.129596077530156,1.0
987,proximal promoter sequence-specific DNA binding,1156,540.4974048442907,0.9619377162629758,24.56232761753929,1.0
8134,transcription factor binding,1861,628.1117678667383,0.8973670069854917,23.994501125033835,1.0
978,RNA polymerase II proximal promoter sequence-specific DNA binding,1078,542.3293135435993,0.9805194805194806,23.75536654017554,1.0
989,"transcription factor activity, transcription factor binding",1660,616.8036144578314,0.8933734939759036,23.192780781585462,1.0
3682,chromatin binding,1538,713.6417425227568,0.929778933680104,23.157516068300513,1.0
988,"transcription factor activity, protein binding",1754,609.4161915621437,0.8859749144811858,23.004881853057295,1.0
1077,"transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding",779,515.3068035943518,0.9871630295250321,21.946741440984507,1.0
3712,transcription cofactor activity,1324,632.7129909365559,0.8919939577039275,20.582037091001425,1.0
19899,enzyme binding,5576,700.4309540889526,0.7785150645624104,20.337658599489092,1.0
3723,RNA binding,5797,565.7950664136622,0.7262377091599103,20.251473490528294,1.0
19904,protein domain specific binding,1943,681.309315491508,0.8378795676788472,17.44165720654196,1.0
1227,"transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding",504,577.9603174603175,0.9761904761904762,16.625417072886705,1.0
19900,kinase binding,1806,717.6312292358804,0.8261351052048727,15.305721468839007,1.0
3714,transcription corepressor activity,494,617.914979757085,0.9493927125506073,15.163993995958425,1.0
19901,protein kinase binding,1601,716.4459712679575,0.8307307932542161,14.990507119413186,1.0
3705,"transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding",295,513.9152542372881,0.9966101694915255,14.783016945291024,1.0
46982,protein heterodimerization activity,1504,527.9135638297872,0.7759308510638298,14.7711628068906,1.0
1047,core promoter binding,504,647.1646825396825,0.9345238095238095,14.457034002385537,1.0
3713,transcription coactivator activity,702,674.588319088319,0.8945868945868946,14.200368551235961,1.0
5102,receptor binding,4107,529.9152666179693,0.6839542244947651,13.939495622274947,1.0
3729,mRNA binding,927,500.6235167206041,0.7982740021574973,13.695463363272864,1.0
1076,"transcription factor activity, RNA polymerase II transcription factor binding",593,645.0741989881956,0.8836424957841484,13.493440718431843,1.0
8092,cytoskeletal protein binding,2657,867.8543470079037,0.8042905532555513,13.374543097970617,1.0
1085,RNA polymerase II transcription factor binding,423,598.1985815602837,0.9361702127659575,13.172166076848637,1.0
1078,"transcriptional repressor activity, RNA polymerase II proximal promoter sequence-specific DNA binding",336,593.5029761904761,0.9761904761904762,12.775677829712539,1.0
4674,protein serine/threonine kinase activity,1942,784.8707518022657,0.8362512873326468,12.712456535329563,1.0
30234,enzyme regulator activity,2838,555.6638477801268,0.7156448202959831,12.622459298212505,1.0
19207,kinase regulator activity,634,479.61829652996846,0.7917981072555205,12.565483565802133,1.0
19887,protein kinase regulator activity,582,469.4072164948454,0.7972508591065293,12.55155204715901,1.0
15631,tubulin binding,936,839.3867521367522,0.8792735042735043,12.122802075816116,1.0
1046,core promoter sequence-specific DNA binding,340,637.5617647058823,0.9470588235294117,11.660937193811629,1.0
4672,protein kinase activity,2582,797.1440743609605,0.8199070487993804,11.612692289540863,1.0
35326,enhancer binding,277,507.1913357400722,0.9458483754512635,11.611964216082564,1.0
5484,SNAP receptor activity,194,244.79381443298968,0.8505154639175257,11.430033031527499,1.0
31490,chromatin DNA binding,262,576.6374045801526,0.9274809160305344,11.343183589142992,1.0
42393,histone binding,489,715.0388548057259,0.901840490797546,11.29705291228421,1.0
1158,enhancer sequence-specific DNA binding,239,481.72803347280336,0.9372384937238494,11.008577406388218,1.0
8017,microtubule binding,705,897.8595744680852,0.8964539007092198,10.664929190535979,1.0
140030,modification-dependent protein binding,317,775.2397476340694,0.9526813880126183,10.318976408883916,1.0
5198,structural molecule activity,2884,558.876560332871,0.6414701803051318,10.285313446564286,1.0
8047,enzyme activator activity,1312,640.7888719512196,0.7690548780487805,10.094695057563143,1.0
42826,histone deacetylase binding,263,652.5475285171103,0.9391634980988594,9.904444194132552,1.0
33613,activating transcription factor binding,219,594.6712328767123,0.9269406392694064,9.808526075831265,1.0
149,SNARE binding,410,504.0365853658537,0.8170731707317073,9.761486296748014,1.0
1664,G-protein coupled receptor binding,778,405.75321336760925,0.6838046272493573,9.722318239331768,1.0
17124,SH3 domain binding,296,866.6148648648649,0.9527027027027027,9.686815070836651,1.0
30545,receptor regulator activity,1345,273.8022304832714,0.5799256505576208,9.546555545783848,1.0
3735,structural constituent of ribosome,1350,182.95333333333335,0.5274074074074074,9.521150433097676,1.0
31491,nucleosome binding,142,534.7183098591549,0.9295774647887324,9.42892389343825,1.0
60589,nucleoside-triphosphatase regulator activity,833,738.7611044417768,0.82953181272509,9.421972364333863,1.0
32403,protein complex binding,2345,753.3300639658848,0.746268656716418,9.41325726691529,1.0
980,RNA polymerase II distal enhancer sequence-specific DNA binding,168,503.9345238095238,0.9404761904761905,9.396562188373998,1.0
35257,nuclear hormone receptor binding,361,794.1163434903048,0.9030470914127424,9.364394700672754,1.0
19210,kinase inhibitor activity,246,408.5121951219512,0.8130081300813008,9.305070886497413,1.0
4860,protein kinase inhibitor activity,237,401.6033755274262,0.8185654008438819,9.213032818755462,1.0
48018,receptor ligand activity,1288,265.02096273291926,0.5791925465838509,9.204063250044138,1.0
3730,mRNA 3'-UTR binding,212,533.7405660377359,0.910377358490566,9.199798730081294,1.0
979,RNA polymerase II core promoter sequence-specific DNA binding,167,597.8443113772455,0.9520958083832335,9.197230002334384,1.0
1190,"transcriptional activator activity, RNA polymerase II transcription factor binding",190,746.3789473684211,0.9578947368421052,9.152108555016852,1.0
8083,growth factor activity,458,312.3842794759825,0.6986899563318777,8.98818080604921,1.0
51427,hormone receptor binding,447,705.7897091722596,0.8389261744966443,8.951055227248357,1.0
50839,cell adhesion molecule binding,1090,805.737614678899,0.8045871559633028,8.948888106899192,1.0
5516,calmodulin binding,710,1079.794366197183,0.8830985915492958,8.944255205913354,1.0
5179,hormone activity,451,218.4811529933481,0.6075388026607539,8.779943521969269,1.0
