:ID,:LABEL,id,length
P0DJZ0,Seq,P0DJZ0,94
P32234,Seq,P32234,368
P83010,Seq,P83010,13
P81928,Seq,P81928,261
P48347,Seq,P48347,254
Q9S9Z8,Seq,Q9S9Z8,252
P42643,Seq,P42643,267
P41932,Seq,P41932,248
Q01525,Seq,Q01525,259
Q20655,Seq,Q20655,248
P42644,Seq,P42644,255
P42645,Seq,P42645,268
Q06967,Seq,Q06967,260
Q96300,Seq,Q96300,265
P48348,Seq,P48348,248
O42766,Seq,O42766,264
P31946,Seq,P31946,246
Q9CQV8,Seq,Q9CQV8,246
P35213,Seq,P35213,246
P92177,Seq,P92177,262
P62258,Seq,P62258,255
P62259,Seq,P62259,255
P62260,Seq,P62260,255
Q04917,Seq,Q04917,246
P68510,Seq,P68510,246
P61981,Seq,P61981,247
P61982,Seq,P61982,247
P61983,Seq,P61983,247
P31947,Seq,P31947,248
O70456,Seq,O70456,248
P27348,Seq,P27348,245
P68254,Seq,P68254,245
P68255,Seq,P68255,245
P29310,Seq,P29310,248
P63104,Seq,P63104,245
P63101,Seq,P63101,245
P63102,Seq,P63102,245
P54632,Seq,P54632,252
Q5PRD0,Seq,Q5PRD0,244
Q6PC29,Seq,Q6PC29,247
Q80HU0,Seq,Q80HU0,78
P16909,Seq,P16909,215
P30443,Seq,P30443,365
P01892,Seq,P01892,365
P04439,Seq,P04439,365
Q9S9U6,Seq,Q9S9U6,460
P13746,Seq,P13746,365
Q06402,Seq,Q06402,496
Q43309,Seq,Q43309,474
Q37001,Seq,Q37001,470
Q9SAR0,Seq,Q9SAR0,495
Q9URX3,Seq,Q9URX3,338
Q9STR4,Seq,Q9STR4,447
Q9T065,Seq,Q9T065,469
Q9M2Y8,Seq,Q9M2Y8,470
P37821,Seq,P37821,473
P30447,Seq,P30447,365
P05534,Seq,P05534,365
P18462,Seq,P18462,365
P30450,Seq,P30450,365
P30512,Seq,P30512,365
P16188,Seq,P16188,365
P16189,Seq,P16189,365
P10314,Seq,P10314,365
P16190,Seq,P16190,365
P30453,Seq,P30453,365
P30455,Seq,P30455,365
P30456,Seq,P30456,365
P30457,Seq,P30457,365
P01891,Seq,P01891,365
P10316,Seq,P10316,365
P30459,Seq,P30459,365
Q09160,Seq,Q09160,365
P03588,Seq,P03588,961
P01889,Seq,P01889,362
P30460,Seq,P30460,362
P30461,Seq,P30461,362
P30462,Seq,P30462,362
P30464,Seq,P30464,362
P30466,Seq,P30466,362
P03989,Seq,P03989,362
P30685,Seq,P30685,362
P18463,Seq,P18463,362
Q95365,Seq,Q95365,362
P30475,Seq,P30475,362
Q04826,Seq,Q04826,362
P30479,Seq,P30479,362
P30480,Seq,P30480,362
P30481,Seq,P30481,362
P30483,Seq,P30483,362
P30484,Seq,P30484,362
P30485,Seq,P30485,362
P30486,Seq,P30486,362
P30487,Seq,P30487,362
P30488,Seq,P30488,362
P18464,Seq,P18464,362
P30490,Seq,P30490,362
P30491,Seq,P30491,362
P30492,Seq,P30492,362
P30493,Seq,P30493,362
P30495,Seq,P30495,362
P18465,Seq,P18465,362
P10319,Seq,P10319,362
Q29940,Seq,Q29940,362
Q29836,Seq,Q29836,362
Q31612,Seq,Q31612,363
P30498,Seq,P30498,362
Q31610,Seq,Q31610,362
Q29718,Seq,Q29718,362
P30499,Seq,P30499,366
P30501,Seq,P30501,366
P04222,Seq,P04222,366
P30504,Seq,P30504,366
Q9TNN7,Seq,Q9TNN7,366
Q29963,Seq,Q29963,366
P10321,Seq,P10321,366
P30505,Seq,P30505,366
P30508,Seq,P30508,366
P30510,Seq,P30510,366
Q07000,Seq,Q07000,366
Q29960,Seq,Q29960,366
Q95604,Seq,Q95604,372
Q29865,Seq,Q29865,366
Q84PN8,Seq,Q84PN8,597
O23507,Seq,O23507,364
P22282,Seq,P22282,176
Q15172,Seq,Q15172,486
Q6PD03,Seq,Q6PD03,486
Q15173,Seq,Q15173,497
