kw,name,n,avg_len,avg_dis,z,p
KW-0008,Acetylcholine receptor inhibiting toxin,12,70.75,0.25,-0.4687456796698778,0.453
KW-0009,Actin-binding,837,974.9187574671446,0.7682198327359617,3.8042564667912826,0.9990000000000001
KW-0010,Activator,2574,600.510101010101,0.8787878787878788,28.115823796186,1.0
KW-0012,Acyltransferase,867,531.5836216839676,0.4221453287197232,-11.276134180763748,0.0
KW-0022,Alpha-amylase inhibitor,3,166.33333333333334,0.0,-1.3791755878849234,0.223
KW-0030,Aminoacyl-tRNA synthetase,243,673.7119341563787,0.6748971193415638,-1.7885651937876776,0.04300000000000004
KW-0031,Aminopeptidase,130,668.723076923077,0.3692307692307693,-9.1019420196176,0.0
KW-0032,Aminotransferase,202,451.04950495049513,0.2376237623762376,-10.229489377348292,0.0
KW-0044,Antibiotic,270,152.33333333333334,0.3888888888888889,0.924461198496217,0.8370000000000001
KW-0047,Antifreeze protein,2,82.0,1.0,2.256743736167881,1.0
KW-0049,Antioxidant,111,203.3963963963964,0.34234234234234234,-1.7909314922209725,0.04200000000000004
KW-0062,Aspartic protease inhibitor,2,96.0,1.0,2.016982668742185,1.0
KW-0063,Aspartyl esterase,28,530.4285714285714,0.5357142857142857,-1.3609869615945676,0.12300000000000001
KW-0064,Aspartyl protease,120,942.3,0.6416666666666667,-2.3864470323387463,0.008000000000000007
KW-0078,Bacteriocin,23,112.52173913043478,0.2608695652173913,-0.7653826648676348,0.29400000000000004
KW-0081,Bacteriolytic enzyme,35,434.65714285714284,0.3142857142857143,-2.5324102197639458,0.007000000000000006
KW-0086,Bence-Jones protein,2,107.0,0.5,0.5254218959897979,0.893
KW-0095,Blood group antigen,29,534.8275862068965,0.4827586206896552,-1.1950946156938078,0.15900000000000006
KW-0107,Calcium channel,193,1397.7668393782385,0.9274611398963728,5.09055495858195,1.0
KW-0108,Calcium channel impairing toxin,8,86.875,0.25,-0.344230932861345,0.5479999999999999
KW-0112,Calmodulin-binding,520,1229.0,0.9019230769230768,7.570500468670579,1.0
KW-0117,Actin capping,66,922.030303030303,0.6666666666666666,-0.5186732105481584,0.335
KW-0121,Carboxypeptidase,116,631.1551724137931,0.3706896551724138,-8.247220154423875,0.0
KW-0123,Cardiotoxin,2,133.5,0.5,0.34327456873216977,0.8590000000000001
KW-0143,Chaperone,937,430.43223052294564,0.7118463180362861,10.022623423752222,1.0
KW-0156,Chromatin regulator,1038,847.0578034682081,0.8959537572254336,13.914681887051206,1.0
KW-0195,Cyclin,133,422.70676691729324,0.8721804511278195,7.179646978898148,1.0
KW-0202,Cytokine,433,236.445727482679,0.4341801385681293,-0.11407916447199368,0.49
KW-0210,Decarboxylase,195,488.21025641025636,0.24615384615384614,-10.698727313271558,0.0
KW-0211,Defensin,53,81.09433962264151,0.3018867924528302,0.2462889977086247,0.6679999999999999
KW-0217,Developmental protein,3897,655.2086220169361,0.8593790094944829,31.096980302416515,1.0
KW-0223,Dioxygenase,366,622.3224043715848,0.4836065573770492,-7.392608591384553,0.0
KW-0224,Dipeptidase,22,522.2727272727273,0.2272727272727273,-4.425407516015503,0.0
KW-0230,DNA invertase,1,184.0,0.0,-0.8457339216380425,0.583
KW-0236,DNA replication inhibitor,16,531.125,0.75,1.3674946227192741,0.946
KW-0238,DNA-binding,6518,546.5319116293341,0.8711261123043879,46.90497270302664,1.0
KW-0239,DNA-directed DNA polymerase,172,1144.4767441860465,0.8197674418604651,0.0660999746998219,0.565
KW-0251,Elongation factor,106,467.6792452830189,0.4811320754716981,-2.589678634975244,0.007000000000000006
KW-0255,Endonuclease,443,728.1354401805869,0.5959367945823928,-2.586013590472749,0.009000000000000008
KW-0257,Endorphin,12,246.5,1.0,3.4860826008755104,1.0
KW-0260,Enterotoxin,5,187.6,0.2,-1.032598472682159,0.29700000000000004
KW-0267,Excision nuclease,13,727.0,0.7692307692307693,-0.06266600900200292,0.5870000000000001
